epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
97,1478.56,0.66413,1.54753,0.63941,1.12789,0,0.75474,0.66549,0.68919,0.4913,0.71668,0.69859,0.68943,0.44658,1.17183,2.64196,1.33416,1.58654,0,0.000458,0.000458,0.000458
98,1493.33,0.62823,1.52191,0.59134,1.10259,0,0.85847,0.64016,0.73017,0.50564,0.82409,0.61567,0.69957,0.45547,1.18501,2.67584,1.24701,1.64779,0,0.00044975,0.00044975,0.00044975
99,1508.11,0.64357,1.54181,0.61235,1.11247,0,0.84797,0.66289,0.74472,0.51595,0.8967,0.62659,0.72493,0.45529,1.21558,2.68901,1.2666,1.68392,0,0.0004415,0.0004415,0.0004415
100,1522.93,0.62425,1.49816,0.58765,1.08674,0,0.85938,0.70775,0.76242,0.54133,0.84516,0.69807,0.75669,0.48713,1.12605,2.64376,1.26464,1.57353,0,0.00043325,0.00043325,0.00043325
101,1537.73,0.64717,1.56356,0.58887,1.1005,0,0.86749,0.67595,0.73835,0.53241,0.86749,0.67595,0.73439,0.47423,1.07418,2.57544,1.21283,1.54987,0,0.000425,0.000425,0.000425
102,1552.54,0.61269,1.49478,0.56975,1.07888,0,0.78383,0.7119,0.7379,0.51979,0.79486,0.68954,0.72511,0.47138,1.10704,2.50109,1.10386,1.57126,0,0.00041675,0.00041675,0.00041675
103,1567.32,0.63437,1.53866,0.60088,1.09226,0,0.77334,0.72617,0.72727,0.51645,0.76743,0.71992,0.71528,0.46412,1.19433,2.82187,1.16359,1.69453,0,0.0004085,0.0004085,0.0004085
104,1582.1,0.63048,1.475,0.58497,1.08905,0,0.76063,0.69111,0.72313,0.51437,0.7825,0.69448,0.71798,0.46152,1.14018,2.6952,1.24678,1.64342,0,0.00040025,0.00040025,0.00040025
105,1596.93,0.62278,1.50438,0.58784,1.08315,0,0.80865,0.6965,0.71955,0.50611,0.80153,0.68742,0.70624,0.45202,1.14044,2.71648,1.25049,1.59469,0,0.000392,0.000392,0.000392
106,1612.2,0.63053,1.53419,0.59433,1.09592,0,0.80315,0.6542,0.70938,0.50751,0.79626,0.64901,0.70444,0.46053,1.09627,2.57687,1.25417,1.59229,0,0.00038375,0.00038375,0.00038375
